category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
ESRD_NORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_NORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_NORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_NORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_NORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_NORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_NORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_NORIGDIS_X_F0_34,0.0,0.0,0.0,0.0,0.0,1.447,2.09,2.555
ESRD_NORIGDIS_X_F35_44,0.0,0.0,0.0,0.0,0.0,1.447,2.516,2.555
ESRD_NORIGDIS_X_F45_54,0.0,0.0,0.0,0.0,0.0,1.255,2.498,2.555
ESRD_NORIGDIS_X_F55_59,0.0,0.0,0.0,0.0,0.0,1.255,2.403,2.555
ESRD_NORIGDIS_X_F60_64,0.0,0.0,0.0,0.0,0.0,1.255,2.106,2.555
ESRD_NORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_NORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_NORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_NORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_NORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_NORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_NORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_NORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_NORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_NORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_NORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
NESRD_ORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,1.008,1.446,2.379
NESRD_ORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,0.965,0.939,1.952
NESRD_ORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,0.965,0.914,1.952
NESRD_ORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,0.94,0.815,1.74
NESRD_ORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,0.94,0.815,1.74
NESRD_ORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,0.94,0.753,1.74
NESRD_ORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,0.668,0.639,1.341
NESRD_ORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,0.668,0.639,1.341
NESRD_ORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,0.668,0.639,1.019
NESRD_ORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,0.368,0.333,0.712
NESRD_ORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,0.368,0.333,0.712
NESRD_ORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,1.104,1.638,2.824
NESRD_ORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,1.255,1.213,2.427
NESRD_ORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,1.255,1.013,2.427
NESRD_ORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,1.023,1.013,1.726
NESRD_ORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,1.023,1.013,1.726
NESRD_ORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,1.023,0.95,1.614
NESRD_ORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,0.828,0.688,1.614
NESRD_ORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,0.521,0.688,1.055
NESRD_ORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,0.521,0.688,1.055
NESRD_ORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,0.396,0.424,0.658
NESRD_ORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,0.396,0.424,0.658
ESRD_ORIGDIS_X_M65,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_ORIGDIS_X_M66,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_ORIGDIS_X_M67,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_ORIGDIS_X_M68,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_ORIGDIS_X_M69,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_ORIGDIS_X_M70_74,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_ORIGDIS_X_M75_79,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_ORIGDIS_X_M80_84,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_ORIGDIS_X_M85_89,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_ORIGDIS_X_M90_94,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_ORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,1.542,2.226,2.358
ESRD_ORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_ORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_ORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_ORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_ORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_ORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_ORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_ORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_ORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_ORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
ESRD_ORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,1.299,2.15,2.555
