category,DIAL,GRAFT_COMM_ND_PBD_GE65,GRAFT_COMM_ND_PBD_LT65,GRAFT_COMM_FBD_GE65,GRAFT_COMM_FBD_LT65,GRAFT_INST,NE_DIAL_ND_PBD_NORIGDIS,NE_DIAL_FBD_NORIGDIS,NE_DIAL_ND_PBD_ORIGDIS,NE_DIAL_FBD_ORIGDIS,NE_GRAFT_ND_PBD_NORIGDIS,NE_GRAFT_FBD_NORIGDIS,NE_GRAFT_ND_PBD_ORIGDIS,NE_GRAFT_FBD_ORIGDIS
NONAGED_HCC46,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC110,0.657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC176,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC85,0.0,0.0,0.0,0.0,0.0,0.491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_PRESSURE_ULCER_V24,0.0,0.0,0.0,0.0,0.0,0.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC161,0.0,0.0,0.0,0.0,0.0,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC39,0.0,0.0,0.0,0.0,0.0,0.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NONAGED_HCC77,0.0,0.0,0.0,0.0,0.0,0.484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NEF0_34,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.981,0.938,1.207,0.705,1.016,0.0,0.0
NEF35_44,0.0,0.0,0.0,0.0,0.0,0.0,0.747,0.944,0.938,1.207,0.942,1.291,0.0,0.0
NEF45_54,0.0,0.0,0.0,0.0,0.0,0.0,0.741,0.869,0.938,1.118,1.145,1.403,0.0,0.0
NEF55_59,0.0,0.0,0.0,0.0,0.0,0.0,0.728,0.892,0.938,1.118,1.142,1.278,0.0,0.0
NEF60_64,0.0,0.0,0.0,0.0,0.0,0.0,0.768,0.892,0.938,1.118,1.202,1.384,0.0,0.0
NEF65_69,0.0,0.0,0.0,0.0,0.0,0.0,0.936,1.094,1.049,1.217,0.0,0.0,0.0,0.0
NEF70_74,0.0,0.0,0.0,0.0,0.0,0.0,0.963,1.102,1.036,1.196,0.688,1.034,1.265,2.004
NEF75_79,0.0,0.0,0.0,0.0,0.0,0.0,0.963,1.142,1.018,1.196,0.893,1.119,1.265,2.004
NEF80_84,0.0,0.0,0.0,0.0,0.0,0.0,0.991,1.189,1.018,1.196,0.98,1.331,1.265,2.004
NEF85_GT,0.0,0.0,0.0,0.0,0.0,0.0,0.963,1.154,1.018,1.196,0.0,0.0,0.0,0.0
NEM0_34,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.883,0.944,1.074,0.405,0.732,0.0,0.0
NEM35_44,0.0,0.0,0.0,0.0,0.0,0.0,0.708,0.883,0.944,1.074,0.663,1.253,0.0,0.0
NEM45_54,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.827,0.851,1.074,0.898,1.407,0.0,0.0
NEM55_59,0.0,0.0,0.0,0.0,0.0,0.0,0.718,0.862,0.847,1.096,0.976,1.464,0.0,0.0
NEM60_64,0.0,0.0,0.0,0.0,0.0,0.0,0.755,0.881,0.859,1.126,1.048,1.529,0.0,0.0
NEM65_69,0.0,0.0,0.0,0.0,0.0,0.0,0.891,1.121,0.921,1.258,0.0,0.0,0.0,0.0
NEM70_74,0.0,0.0,0.0,0.0,0.0,0.0,0.868,1.082,0.902,1.258,0.801,1.443,1.286,1.942
NEM75_79,0.0,0.0,0.0,0.0,0.0,0.0,0.937,1.171,1.004,1.258,1.04,1.443,1.286,2.788
