category,CNA,CND,CFA,CFD,CPA,CPD,INS,NE_NMCAID_NORIGDIS,NE_MCAID_NORIGDIS,NE_NMCAID_ORIGDIS,NE_MCAID_ORIGDIS
HCC29,0.165,0.267,0.038,0.4,0.263,0.324,0.39,0.0,0.0,0.0,0.0
HCC33,0.246,0.524,0.369,0.503,0.324,0.51,0.335,0.0,0.0,0.0,0.0
HCC34,0.276,0.678,0.333,0.875,0.412,0.849,0.241,0.0,0.0,0.0,0.0
HCC35,0.294,0.483,0.334,0.613,0.209,0.496,0.244,0.0,0.0,0.0,0.0
HCC39,0.425,0.474,0.552,0.713,0.418,0.491,0.345,0.0,0.0,0.0,0.0
HCC40,0.423,0.377,0.37,0.345,0.39,0.29,0.329,0.0,0.0,0.0,0.0
HCC46,1.388,3.188,1.219,4.256,1.226,3.529,0.68,0.0,0.0,0.0,0.0
HCC47,0.625,0.848,0.529,0.589,0.449,0.69,0.529,0.0,0.0,0.0,0.0
HCC48,0.221,0.339,0.268,0.378,0.225,0.382,0.151,0.0,0.0,0.0,0.0
HCC54,0.383,0.569,0.706,0.919,0.388,0.613,0.102,0.0,0.0,0.0,0.0
HCC55,0.383,0.285,0.522,0.366,0.377,0.286,0.102,0.0,0.0,0.0,0.0
HCC57,0.608,0.395,0.612,0.432,0.547,0.366,0.271,0.0,0.0,0.0,0.0
HCC58,0.395,0.209,0.444,0.178,0.413,0.163,0.271,0.0,0.0,0.0,0.0
HCC70,1.314,1.053,1.098,1.056,1.274,1.328,0.497,0.0,0.0,0.0,0.0
HCC71,1.007,0.704,0.92,1.019,0.958,0.908,0.467,0.0,0.0,0.0,0.0
HCC72,0.528,0.456,0.552,0.407,0.556,0.384,0.229,0.0,0.0,0.0,0.0
HCC73,0.97,1.082,1.23,1.219,0.57,0.814,0.224,0.0,0.0,0.0,0.0
HCC74,0.28,0.132,0.0,0.0,0.158,0.052,0.0,0.0,0.0,0.0,0.0
HCC75,0.457,0.528,0.436,0.465,0.364,0.331,0.369,0.0,0.0,0.0,0.0
HCC76,0.505,0.457,0.553,0.512,0.429,0.168,0.104,0.0,0.0,0.0,0.0
HCC77,0.441,0.54,0.687,0.794,0.407,0.459,0.0,0.0,0.0,0.0,0.0
HCC78,0.674,0.585,0.751,0.516,0.629,0.394,0.145,0.0,0.0,0.0,0.0
HCC79,0.309,0.227,0.357,0.195,0.349,0.245,0.088,0.0,0.0,0.0,0.0
HCC80,0.584,0.302,0.946,0.324,0.508,0.155,0.042,0.0,0.0,0.0,0.0
HCC82,1.055,1.024,2.304,1.575,0.914,0.676,1.631,0.0,0.0,0.0,0.0
HCC83,0.658,0.781,1.033,0.484,0.704,0.429,0.727,0.0,0.0,0.0,0.0
HCC84,0.302,0.578,0.471,0.484,0.301,0.429,0.297,0.0,0.0,0.0,0.0
