category,DIAL,GRAFT_COMM,GRAFT_INST,NE_DIAL_NMCAID_NORIGDIS,NE_DIAL_MCAID_NORIGDIS,NE_DIAL_NMCAID_ORIGDIS,NE_DIAL_MCAID_ORIGDIS,NE_GRAFT_NMCAID_NORIGDIS,NE_GRAFT_MCAID_NORIGDIS,NE_GRAFT_NMCAID_ORIGDIS,NE_GRAFT_MCAID_ORIGDIS
NEM85_GT,0.0,0.0,0.0,1.161,1.485,1.253,1.474,0.0,0.0,0.0,0.0
NEF65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.993,1.067,1.457
NEF66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.515,0.897,1.067,1.457
NEF67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.544,0.919,1.067,2.003
NEF68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.597,0.95,1.284,2.003
NEF69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.95,1.284,2.003
NEF85_89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294,1.535,1.284,2.003
NEF90_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294,1.701,1.284,2.003
NEF95_GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.294,1.701,1.284,2.003
NEM65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.517,1.144,0.826,1.811
NEM66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533,1.094,1.071,2.198
NEM67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.582,1.151,1.123,2.198
NEM68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.626,1.202,1.123,2.198
NEM69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,1.202,1.399,2.198
NEM85_89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.476,1.777,1.399,2.198
NEM90_94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.476,1.777,1.399,2.198
NEM95_GT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.476,1.777,1.399,2.198
