category,CE_NONLOW_AGED,CE_NONLOW_NONAGED,CE_LOW_AGED,CE_LOW_NONAGED,CE_LTI,NE_NONLOW_COMMUNITY,NE_LOW_COMMUNITY,NE_LTI
ESRD_ORIGDIS_X_M95_GT,0.0,0.0,0.0,0.0,0.0,1.547,2.215,2.349
ESRD_ORIGDIS_X_F65,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_ORIGDIS_X_F66,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_ORIGDIS_X_F67,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_ORIGDIS_X_F68,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_ORIGDIS_X_F69,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_ORIGDIS_X_F70_74,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_ORIGDIS_X_F75_79,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_ORIGDIS_X_F80_84,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_ORIGDIS_X_F85_89,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_ORIGDIS_X_F90_94,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
ESRD_ORIGDIS_X_F95_GT,0.0,0.0,0.0,0.0,0.0,1.303,2.131,2.538
